Kode	Nama	Stock Minimal	Qty All Gudang	Panjang	Lebar	Tinggi	Berat	Unit	Kode Supplier	Supplier	Group1	Group2	Group3	Merkbarang	Bahan Aktif	Fokus	Noindex
="AABAC01"	Abacel 18 EC 10 X 1 ltr	0	0	10	1	1	1253	Btl	EXCEL01	Excel Meg Indo, PT	Obat	Insektisida	Abacel 18 EC		Abamectin		1916
="AABAC02"	Abacell 18 EC 100 X 100 ml (tidak terpakai)	0	0	100	1	1	70.6	Btl	EXCEL01	Excel Meg Indo, PT	Obat	Insektisida	No Group		Abamectin		2
="AABAC03"	Abacel 18 EC 20 X 500 ml	0	0	20	1	1	645.5	Btl	EXCEL01	Excel Meg Indo, PT	Obat	Insektisida	Abacel 18 EC	Abacell 18 EC	Abamectin		3
="AABAC04"	Abacel 18 EC 40 X 250 ml	0	0	40	1	1	340.25	Btl	EXCEL01	Excel Meg Indo, PT	Obat	Insektisida	Abacel 18 EC	Abacell 18 EC	Abamectin		4
="AABAC05"	Abacyper 30/125 EC 48 X 100 ml	0	0	48	1	1	136.46	Btl	ARTHA01	Artha Buana Mandiri/Graha Niaga Mandiri, CV	Obat	Insektisida	Abacyper 30/125 EC	Abacyper 30/125 EC	Abamectin + Sipermetrin		5
="AABAC06"	Abacyper 30/125 EC 24 X 200 ml	0	0	24	1	1	266.25	Btl	ARTHA01	Artha Buana Mandiri/Graha Niaga Mandiri, CV	Obat	Insektisida	Abacyper 30/125 EC		Abamectin + Sipermetrin		6
="AABAC07"	Abacell 18 EC 50 X 100 ml	0	0	50	1	1	139.4	Btl	EXCEL01	Excel Meg Indo, PT	Obat	Insektisida	Abacel 18 EC		Abamectin		7
="AABAC08"	Abacypher Reform 100ml (Sample)	0	0	1	1	1	1	Btl	ARTHA01	Artha Buana Mandiri/Graha Niaga Mandiri, CV	Obat	Insektisida	Abacypher Reform		Abamectin + Sipermetrin		4293
="AABAC09"	Abacel 18 EC 50 X 100 ml	0	0	50	1	1	1	Btl			No Group	No Group	No Group				8506
="AABAD01"	Abado 50 WP 20 X 6 X 40 gr*	0	0	20	6	1	60.8	Pack	ADVAN01	Advansia Indotani, PT	Obat	Fungisida	Abado 50 WP		Dimetomorf	C	1582
="AABAD02"	Abado 50 WP 20 X 20 X 10 gr*	0	0	20	20	1	16.3	Pack	ADVAN01	Advansia Indotani, PT	Obat	Fungisida	Abado 50 WP		Dimetomorf	C	3228
="AABEN01"	Abenz 22 EC 100 X 100 ml	0	0	100	1	1	126	Btl	ADVAN01	Advansia Indotani, PT	Obat	Insektisida	Abenz 22 EC		Amamektin Benzoat		8
="AABEN02"	Abenz 22 EC 40 X 250 ml	0	0	40	1	1	300	Btl	ADVAN01	Advansia Indotani, PT	Obat	Insektisida	Abenz 22 EC		Amamektin Benzoat		9
="AABOJ01"	Abojo 60 WP 100 X 100 gr	0	0	100	1	1	118	Pack	ADVAN01	Advansia Indotani, PT	Obat	Moluskisida	Abojo 60 WP		fentin asetat		1583
="AABOJ02"	Abojo 60 WP 10 X 20 X 50 gr	0	0	10	20	1	65.8	Pack	ADVAN01	Advansia Indotani, PT	Obat	Moluskisida	Abojo 60 WP		fentin asetat		3796
="AABOJO01"	Abojo 60 WP 100 X 100 gr	0	0	100	1	1	118	Pack			No Group	No Group	No Group				8747
="AABUK01"	Abuki 50 SL 20 X 500 ml	0	0	20	1	1	575	Btl	AGRIC01	Agricon, PT	Obat	Insektisida	Abuki 50 SL		Imidakloprid		1584
="AACAP01"	Acapela System 280 SC 40 X 100 ml	0	0	40	1	1	167.5	Btl	DUPON01	Dupont Agricultural Product Indonesia, PT	Obat	Insektisida	Acapela System 280 SC		Pikosistrobin & Siprokonazol		10
="AACAP02"	Acapela System 280 SC 50 X 100 ml	0	0	50	1	1	1	Btl	CORTE01	Corteva Agriscience Indonesia, PT	Obat	Fungisida	Acapela System 280 SC				9255
="AACCO01"	Accora 100 EC 50 X 100 ml*	0	0	50	1	1	133	Btl	SARAN08	Sarana Tani Indonesia Makmur, PT	Obat	Insektisida	Accora 100 EC		Sipermetrin	C	4128
="AACCO02"	Accora 100 EC 15 X 1 ltr*	0	0	15	1	1	1073.3	Btl	SARAN08	Sarana Tani Indonesia Makmur, PT	Obat	Insektisida	Accora 100 EC		Sipermetrin	C	4771
="AACCO03"	Accora 100 EC 15 X 1 ltr (Sample)	0	0	15	1	1	1	Btl	SARAN08	Sarana Tani Indonesia Makmur, PT	No Group	No Group	No Group	Accora 100 EC	Sipermetrin		6472
="AACCO04"	Accora 100 EC 20 X 500 ml*	0	0	20	1	1	1	Btl	BEN01	Benih Berkah Berseri, PT	No Group	No Group	No Group	Accora 100 EC	Sipermetrin		7590
="AACCU01"	Accu Kayaba Kering 12A - 12 Volt	0	1	1	1	1	175.75	Pcs	WIDJA01	Widjaya, UD	Sarana Pertanian	Sarana Pertanian	No Group	Accu Kayaba Kering 12A - 12 Volt	Accu		2331
="AACCU02"	Accu Yakotani Kering 12A - 12 Volt	0	0	1	1	1	175.75	Pcs	WIDJA01	Widjaya, UD	Sarana Pertanian	Sarana Pertanian	No Group		Accu		1585
="AACEM01"	Acemain 75 SP 10 X 8 X 100 gr	0	0	10	8	1	0	Pack	ROYAL01	Royal Agro Indonesia, PT	Obat	Insektisida	Acemain 75 SP		Asefat		11
="AACEM02"	Acemain 75 SP 20 X 400 gr	0	0	20	1	1	0	Pack	ROYAL01	Royal Agro Indonesia, PT	Obat	Insektisida	Acemain 75 SP		Asefat		1587
="AACEO01"	Ace One 75 SP 100 X 100 gr*	0	0	100	1	1	115.1	Pack	SINAR01	Sinar General Industries, PT	Obat	Insektisida	Ace One 75 SP		Achephate	C	12
="AACEO02"	Ace One 75 SP 25 X 400 gr*	0	0	25	1	1	432	Pack	SINAR01	Sinar General Industries, PT	Obat	Insektisida	Ace One 75 SP		Achephate	C	1586
="AACEO03"	Ace One 75 SP 20 X 400 gr*	0	0	20	1	1	1	Pack	SINAR01	Sinar General Industries, PT	No Group	No Group	No Group		Achephate	C	6207
="AACEO04"	Ace-One 75 SP 25 X 400 gr*	0	0	25	1	1	432	Pcs	SINAR01	Sinar General Industries, PT	No Group	No Group	No Group				9186
="AACRO01"	Acrobat WP 20 X 6 X 40 gr	0	0	20	6	1	55.4	Pack	BASFI01	BASF Indonesia, PT	Obat	Fungisida	Acrobat 50 WP		Dimetomorf		13
="AACRO02"	Acrobat WP 16 X 20 X 10 gr	0	0	16	20	1	1	Pack	BASFI01	BASF Indonesia, PT	Obat	Fungisida	Acrobat 50 WP		Dimetomorf		5876
="AACTA01"	Actara WG 4 X 25 X 10 gr	0	0	4	25	1	18	Pack	SYNGE01	Syngenta Indonesia, PT	Obat	Insektisida	No Group		Tiametoksan		14
="AACTE01"	Actellicpro 500 EC 10 X 1 ltr	0	0	10	1	1	1150	Btl	SYNGE01	Syngenta Indonesia, PT	Obat	Insektisida	No Group		Metil Pirimifos		1588
="AACTI01"	Active 490 SL 25 X 500 ml	0	0	25	1	1	0	Btl	SINAR01	Sinar General Industries, PT	Obat	Herbisida	No Group		Glifosat		1917
="AACTI02"	Active 490 SL 30 X 250 ml	0	0	30	1	1	0	Btl	SINAR01	Sinar General Industries, PT	Obat	Herbisida	No Group		Glifosat		1918
="AACTI03"	Actigrow 20 X 500 ml*	0	0	20	1	1	710	Btl			No Group	No Group	No Group				8789
="AACTI04"	Activation 20 X 1 ltr	0	0	20	1	1	1	Btl	PETRO02	Petrosida Gresik, PT	Pupuk	ZPT	Activation				9256
="AADEN01"	Adengo SC465 100 X 100 ml	0	0	100	1	1	152.9	Btl	BAYER01	Bayer Indonesia, PT	Obat	Insektisida	No Group		Isoksaflutol & Tienkarbazon metil		15
="AADMI01"	Admit 50 WP 200 X 50 gr*	0	0	200	1	1	0	Pack	GLOBA01	Global Agrotech, PT	Obat	Fungisida	Admit 50 WP		Dimetomorf	C	1589
="AADOC01"	Adoca 150 SC 100 X 100 ml*	0	0	100	1	1	154.8	Btl	ADVAN01	Advansia Indotani, PT	Obat	Insektisida	No Group		indoksakarb	C	1919
="AADOC02"	Adoca 150 SC 100 X 50 ml*	0	0	100	1	1	92	Btl	ADVAN01	Advansia Indotani, PT	Obat	Insektisida	Adoca 150 SC		Indoksakarb	C	1590
="AADRI01"	Adrift 125 EC 40 X 100 ml	0	0	40	1	1	0	Btl	BIOWO01	Bioworld Biosciencen ML, PT	Obat	Fungisida	No Group		Miklobutanil		16
="AADRI02"	Adrift 125 EC 50 X 100 ml	0	0	50	1	1	136	Btl	BIOWO01	Bioworld Biosciencen ML, PT	No Group	No Group	No Group	Adrift 125 EC	Miklobutanil		8152
="AAFON01"	Afonil 50 SC 40 X 250 ml	0	0	40	1	1	336.3	Btl	ADVAN01	Advansia Indotani, PT	Obat	Insektisida	Afonil 50 SC	Afonil 50 SC	Fipronil		5490
="AAGEN01"	Agent 50 SC 50 X 100 ml	0	0	50	1	1	144	Btl	NUFAR01	Nufarm Indonesia, PT	Obat	Insektisida	Agent 50 SC		Fipronil		3747
="AAGIL01"	Agil 100 EC 100 X 100 ml	0	0	100	1	1	136.6	Btl	ROYAL01	Royal Agro Indonesia, PT	Obat	Herbisida	Agil 100 EC		Propaquizafop		17
="AAGIL02"	Agil 100 EC 40 X 250 ml	0	0	40	1	1	342.5	Btl	ROYAL01	Royal Agro Indonesia, PT	Obat	Herbisida	Agil 100 EC		Propaquizafop		3359
="AAGRI01"	Agrimec 18 EC 100 X 50 ml	0	0	100	1	1	72.8	Btl	SYNGE01	Syngenta Indonesia, PT	Obat	Insektisida	No Group	Agrimec 18 EC	Abamektin		18
="AAGRI02"	Agrimec 18 EC 50 X 100 ml	0	0	50	1	1	131.2	Btl	SYNGE01	Syngenta Indonesia, PT	Obat	Insektisida	No Group		Abamektin		1920
="AAGRI03"	Agristik 400 L 12 X 1 ltr	0	0	12	1	1	1170.8	Btl	BAYER01	Bayer Indonesia, PT	Obat	Perata & Perekat	Agristick 400 L		Alkilaril Poliglikol Eter		1591
="AAGRI04"	Agrical-S 25 kg (S)	0	0	1	1	1	0	Zak	AGRIM02	Agrimas Citra Mandiri	Pupuk	Pupuk	Agrical-S				3144
="AAGRI05"	Agrical-S 25 kg	0	0	1	1	1	0	Zak	AGRIM02	Agrimas Citra Mandiri	Pupuk	Pupuk	Agrical-S				3148
="AAGRI06"	Agristik 400 L 4 X 5 ltr	0	0	4	1	1	5640	Btl	BAYER01	Bayer Indonesia, PT	Obat	Perata & Perekat	Agristick 400 L		Alkilaril Poliglikol Eter		3504
