tgl_inputer,kd_faktur,kd_rute,kd_customer,kd_barang,nama_barang,qty,satuan,no_lot,tgl_exp,nominal_p,jtempo,upload_sts,data_sts,barang_sts,
01/09/2025,A25001803,JUBS,ONLI01,QBION02,Bionik 400 EC 20 X 500 ml*,1,Btl,41203999,01/12/2029,81704.99999,0,1,1,1,
01/09/2025,A25001804,JUBS,ONLI01,QKING03,Kingdom 550 SC 20 X 1 ltr*,1,Btl,24112607,01/10/2029,112945,0,1,1,1,
01/09/2025,A25001805,JUBS,ONLI01,QKING03,Kingdom 550 SC 20 X 1 ltr*,1,Btl,24112607,01/10/2029,112945,0,1,1,1,
01/09/2025,A25001806,JUBS,ONLI01,QPAPA02,Papandayan 486 SL 4 X 5 ltr,1,Gal,2412305016PG,01/12/2029,1214625,0,1,1,1,
01/09/2025,A25001806,JUBS,ONLI01,QPAPA02,Papandayan 486 SL 4 X 5 ltr,1,Gal,2412305016PG,01/12/2029,1214625,0,1,1,1,
01/09/2025,A25001806,JUBS,ONLI01,QPAPA02,Papandayan 486 SL 4 X 5 ltr,1,Gal,PDNE2412305016,01/12/2029,1214625,0,1,1,1,
01/09/2025,A25001806,JUBS,ONLI01,QPAPA02,Papandayan 486 SL 4 X 5 ltr,2,Gal,PDNE2501245001,01/01/2030,1214625,0,1,1,1,
01/09/2025,A25001807,JUBS,ONLI01,QKING03,Kingdom 550 SC 20 X 1 ltr*,2,Btl,24112607,01/10/2029,225890,0,1,1,1,
01/09/2025,A25001808,JUBS,ONLI01,QTERM01,Termikon 15 EC 20 X 400 ml,2,Btl,48071011,01/07/2029,66089.99996,0,1,1,1,
01/09/2025,A25001809,JUBS,ONLI01,QXYCO02,Xycort 550/60 EC 20 X 400 ml*,1,Btl,193534B,01/12/2027,74494.99999,0,1,1,1,
01/09/2025,A25001810,JUBS,ONLI01,QBION02,Bionik 400 EC 20 X 500 ml*,1,Btl,41203999,01/12/2029,81704.99999,0,1,1,1,
01/09/2025,A25001811,JUBS,ONLI01,QKING03,Kingdom 550 SC 20 X 1 ltr*,1,Btl,24112607,01/10/2029,112945,0,1,1,1,
01/09/2025,A25001812,JUBS,ONLI01,QKING03,Kingdom 550 SC 20 X 1 ltr*,1,Btl,24112607,01/10/2029,112945,0,1,1,1,
01/09/2025,A25001813,JUBS,ONLI01,QKING03,Kingdom 550 SC 20 X 1 ltr*,1,Btl,24112607,01/10/2029,112945,0,1,1,1,
01/09/2025,A25001814,JUBS,ONLI01,QVIAR02,Viaron 80 WP 40 X 250 gr,1,Pack,50609025,01/06/2030,52265.00001,0,1,1,1,
01/09/2025,A25001815,JUBS,ONLI01,QBRAP01,Braphon 488 SL 50 X 100 ml*,1,Btl,120325F,01/03/2030,28850.00001,0,1,1,1,
01/09/2025,A25001816,JUBS,ONLI01,QBASG01,Basgent 55 SC 100 X 50 ml*,20,Btl,BSN24100150,01/10/2029,379200,0,1,1,1,
01/09/2025,A25001817,JUBS,ONLI01,QASLI01,Aslinya 75 WP 20 X 20 X 25 gr,10,Pack,ADV1701210P3GP,01/01/2026,177750,0,1,1,1,
01/09/2025,A25001818,JUBS,ONLI01,QMETA12,Metachlor 550/100 EC 100 X 100 ml,12,Btl,25080501,01/07/2030,298620,0,1,1,1,
01/09/2025,A25001819,JUBS,ONLI01,QMANO01,Manohara 20 X 1 kg*,5,Pack,0,01/06/2030,186750,0,1,1,1,
01/09/2025,A25001819,JUBS,ONLI01,QMANO01,Manohara 20 X 1 kg*,4,Pack,82025,01/08/2030,186750,0,1,1,1,
01/09/2025,A25001820,JUBS,ONLI01,QWIND07,Winda 250 SC 50 X 100 ml*,5,Btl,5.02251E+11,01/05/2030,189600,0,1,1,1,
01/09/2025,A25001821,JUBS,ONLI01,QFONI01,Fonium 200 SL 20 X 1 ltr,5,Btl,223300003,01/04/2029,385125,0,1,1,1,
02/09/2025,A25001822,JUBS,ONLI01,QQIUM03,Qiumex 36 EC 20 X 500 ml*,1,Btl,20240507,01/05/2029,183685,0,1,1,1,
02/09/2025,A25001822,JUBS,ONLI01,QAPPL01,Applaud 10 WP 20 X 5 X 100 gr,5,Pack,48111515,01/11/2029,183685,0,1,1,1,
