tgl_transaksi,kd_faktur_lpb,nama_barang,exp_date,qty,lpb_note,input_at,lpb_status
30/10/2025,25000741B,"Jagung DK 9209C 20 X 1 kg",29/9/2026,5000,6128065288,01/11/2025,1
30/10/2025,25000742B,"Jagung DK 9209C 20 X 1 kg",29/9/2026,2500,6128065289,01/11/2025,1
30/10/2025,25000743B,"Jagung NK 7328 20 X 1 kg",4/10/2026,7500,850765527,01/11/2025,1
30/10/2025,25000744B,"Jagung NK 7328 BTGT 20 X 1 kg",5/10/2026,6480,850765523,01/11/2025,1
30/10/2025,25000744B,"Jagung NK 7328 BTGT 20 X 1 kg",5/10/2026,2020,850765523,01/11/2025,1
30/10/2025,25000745B,"Timun Semi F1 12 X 10 X 20 gr*",17/4/2027,1200,SJP2510-1233,01/11/2025,1
30/10/2025,25000746B,"Timun Semi F1 12 X 10 X 20 gr*",28/4/2027,600,SJP2510-1287,01/11/2025,1
30/10/2025,25000747B,"Jagung NK 7328 20 X 1 kg",4/10/2026,4200,850765532,01/11/2025,1
30/10/2025,25000747B,"Jagung NK 7328 20 X 1 kg",4/10/2026,11800,850765532,01/11/2025,1
30/10/2025,25002123,"Mulsa Ori Universal 0.25 60 cm X 18 kg (Roll) + Kaos*",1/1/1000,96,KIU/0001/X/25,01/11/2025,1
30/10/2025,25002124,"Round Up 486 SL 12 X 1 ltr",1/1/1000,12960,"25/26-000245-03 SHIP TO RIZKY JAYA",01/11/2025,1
30/10/2025,25002125,"Passxone 276 SL 4 X 5 ltr*",1/9/2030,244,SJR/1025/0287,01/11/2025,1
30/10/2025,25002125,"Grandally 25 WP 25 gr",1/1/1000,100,SJR/1025/0287,01/11/2025,1
30/10/2025,25002125,"Grandally 25 WP 5 gr",1/1/1000,1580,SJR/1025/0287,01/11/2025,1
30/10/2025,25002125,"Papandayan 486 SL 20 X 1 ltr",1/10/2030,1580,SJR/1025/0287,01/11/2025,1
30/10/2025,25002125,"Ampang 240 SL 20 ltr*",1/10/2030,25,SJR/1025/0287,01/11/2025,1
30/10/2025,25002126,"Dharmabas 500 EC 50 X 100 ml",1/2/2030,200,FTM/2025/X/2994,01/11/2025,1
30/10/2025,25002126,"Dharmabas 500 EC 50 X 100 ml",1/6/2030,1050,FTM/2025/X/2994,01/11/2025,1
30/10/2025,25002127,"Passxone 276 SL 20 X 1 ltr*",1/10/2030,4220,SJR/1025/0286,01/11/2025,1
30/10/2025,25002127,"Passxone 276 SL 20 X 1 ltr*",1/10/2030,780,SJR/1025/0286,01/11/2025,1
30/10/2025,25002127,"Grandally 25 WP 5 gr",1/1/1000,5000,SJR/1025/0286,01/11/2025,1
30/10/2025,25002128,"Round Up 486 SL 12 X 1 ltr",1/1/1000,14292,"25/26-000247-03 SHIP TO SMAI",01/11/2025,1
30/10/2025,25002129,"Tuntas 300/100 SL 20 X 1 ltr*",1/10/2030,4380,DO/0001/1025/1386,01/11/2025,1
30/10/2025,25002129,"Tuntas 300/100 SL 20 X 1 ltr*",1/10/2030,620,DO/0001/1025/1386,01/11/2025,1
30/10/2025,25002130,"Tuntas 300/100 SL 20 X 1 ltr*",1/10/2030,2500,DO/0001/1025/1433,01/11/2025,1
30/10/2025,25002130,"Tuntas 300/100 SL 20 X 1 ltr*",1/10/2030,2500,DO/0001/1025/1433,01/11/2025,1
30/10/2025,25002131k,"Rubost 40 X 200 ml",1/10/2030,582,SJANT202510013C-MAN,01/11/2025,1
30/10/2025,25002132,"Pembino 12 X 1 ltr",1/7/2030,480,2505778,01/11/2025,1
30/10/2025,25002132,"Pembino 20 X 500 ml",1/7/2030,1200,2505778,01/11/2025,1
30/10/2025,25002133,"Ludes 50 EC 30 X 250 ml*",1/10/2028,1290,2510033,01/11/2025,1
30/10/2025,25002134,"Emaplus 50 EC 40 X 200 ml*",1/6/2028,400,2505733,01/11/2025,1
30/10/2025,25002134,"Emaplus 50 EC 50 X 80 ml*",1/8/2028,400,2505733,01/11/2025,1
30/10/2025,25002134,"Emaplus 50 EC 50 X 80 ml*",1/10/2028,100,2505733,01/11/2025,1
30/10/2025,25002134,"Emaplus 50 EC 40 X 200 ml*",1/10/2028,200,2505733,01/11/2025,1
