tgl_inputer,kd_faktur,kd_rute,salesman,kd_customer,kd_barang,nama_barang,qty,satuan,no_lot,tgl_exp,nominal_p,jtempo,upload_sts,data_sts,barang_sts
30/1/2026,A26000179,JUBS,Sheila,ONLI01,QMEGA09,"Megaxone 135 SL 20 X 1 ltr*",2,Btl,205250838143,1/8/2030,79599.999988288,0,1,1,1
30/1/2026,A26000180,JUBS,Sheila,ONLI01,QTERM01,"Termikon 15 EC 20 X 400 ml",1,Btl,48070211,1/7/2029,33837.000016216,0,1,1,1
30/1/2026,A26000181,JUBS,Sheila,ONLI01,QGIBA01,"Gibas 240 SL 20 X 1 ltr*",1,Btl,30925088,1/9/2028,37871.999981081,0,1,1,1
30/1/2026,A26000182,JUBS,Sheila,ONLI01,QMEXD07,"Mexdone 36 EC 40 X 250 ml New*",1,Btl,20240527,1/7/2027,81562.000020721,0,1,1,1
30/1/2026,A26000183,JUBS,Sheila,ONLI02,QASSO01,"Associate 200 SC 20 X 250 ml*",1,Btl,2508001,1/8/2027,357750.0000027,0,1,1,1
30/1/2026,A26000184,JUBS,Sheila,ONLI02,QPAPA01,"Papandayan 486 SL 20 X 1 ltr",3,Btl,2511071009,1/11/2030,184499.99998378,0,1,1,1
30/1/2026,B26001548,LMJ,Ariyani,BARO60,QJAGU72,"Jagung Bisi 321 20 X 1 kg (+Kaos)",20,Pack,251118AF01,5/11/2026,1230000,30,1,1,1
30/1/2026,B26001549,KD-1,Zakia,ANUG01,QSCOR02,"Score 250 EC 40 X 250 ml",400,Btl,JAK5G25051,1/7/2027,63600000.000003,30,1,1,1
30/1/2026,B26001550,LMJ,Ariyani,HASI04,QCABE69,"Cabe Sigma 20 X 12 X 10 gr",24,Pack,250523AF01,26/11/2026,1320000,30,1,1,1
30/1/2026,B26001551,P-1,Safira,HIKM01,QAKRO01,"Akrostar 40 WP 60 X 40 gr*",60,Pack,11213101,1/12/2028,2190000.000027,60,1,1,1
30/1/2026,B26001552,P-1,Safira,HIKM01,QJAGU87,"Jagung NK 212 BTGT 20 X 1 kg",200,Pack,20902956,5/10/2026,1265000000,7,1,1,1
30/1/2026,B26001552,P-1,Safira,HIKM01,QJAGU13,"Jagung NK 212 20 X 1 kg",3840,Pack,21055987,2/1/2027,1265000000,7,1,1,1
30/1/2026,B26001552,P-1,Safira,HIKM01,QJAGU29,"Jagung NK 7328 20 X 1 kg",1500,Pack,20952819,20/11/2026,1265000000,7,1,1,1
30/1/2026,B26001552,P-1,Safira,HIKM01,QJAGU13,"Jagung NK 212 20 X 1 kg",3660,Pack,20981701,28/12/2026,1265000000,7,1,1,1
30/1/2026,B26001552,P-1,Safira,HIKM01,QJAGU87,"Jagung NK 212 BTGT 20 X 1 kg",4800,Pack,20902947,5/10/2026,1265000000,7,1,1,1
30/1/2026,B26001553,JLS,Yuyun,ENGG02,QJAGU101,"Jagung Manis Golden Boy F1 40 X +/-1800 biji",40,Pack,260107AF01,1/10/2026,50760000,30,1,1,1
30/1/2026,B26001553,JLS,Yuyun,ENGG02,QJAGU107,"Jagung Manis Master Sweet 45 F1 40 X 1800 biji",80,Pack,251001AF01,1/7/2026,50760000,30,1,1,1
30/1/2026,B26001553,JLS,Yuyun,ENGG02,QJAGU102,"Jagung Manis Sweet Lady 27 F1 20 X +/-3600 biji",100,Pack,251009AF01,1/7/2026,50760000,30,1,1,1
30/1/2026,B26001553,JLS,Yuyun,ENGG02,QJAGU100,"Jagung Manis Golden Boy F1 20 X +/-3600 biji",100,Pack,251107AF01,1/8/2026,50760000,30,1,1,1
30/1/2026,B26001553,JLS,Yuyun,ENGG02,QJAGU100,"Jagung Manis Golden Boy F1 20 X +/-3600 biji",100,Pack,251107AF01,1/8/2026,50760000,30,1,1,1
30/1/2026,B26001553,JLS,Yuyun,ENGG02,QJAGU99,"Jagung Manis Master Sweet 45 F1 20 X 3600 biji",40,Pack,250924AF01,1/6/2026,50760000,30,1,1,1
30/1/2026,B26001554,JLS,Yuyun,ENGG02,QABAC07,"Abacel 18 EC 50 X 100 ml",144,Btl,5052082,1/6/2028,40465000.000045,30,1,1,1
30/1/2026,B26001554,JLS,Yuyun,ENGG02,QAMAB02,"Amabas 500 EC 20 X 400 ml*",200,Btl,50719021,1/7/2030,40465000.000045,30,1,1,1
30/1/2026,B26001554,JLS,Yuyun,ENGG02,QABAC07,"Abacel 18 EC 50 X 100 ml",356,Btl,25062025,1/6/2028,40465000.000045,30,1,1,1
30/1/2026,B26001554,JLS,Yuyun,ENGG02,QATON09,"Atonik 6.0 L 30 X 250 ml",30,Btl,1011022225,1/10/2030,40465000.000045,30,1,1,1
30/1/2026,B26001554,JLS,Yuyun,ENGG02,QDECI02,"Decis 25 EC 100 X 50 ml",500,Btl,PI41004010,1/1/2030,40465000.000045,30,1,1,1
30/1/2026,B26001554,JLS,Yuyun,ENGG02,QDECI01,"Decis 25 EC 100 X 100 ml",100,Btl,PI41004003,1/1/2030,40465000.000045,30,1,1,1
30/1/2026,B26001554,JLS,Yuyun,ENGG02,QDECI01,"Decis 25 EC 100 X 100 ml",400,Btl,PI41004003,1/1/2030,40465000.000045,30,1,1,1
30/1/2026,B26001555,JUBS,Yuyun,JOYO09,QALFA01,"Alfatox 50 EC 20 X 400 ml*",100,Btl,63323U3011,1/8/2030,5349999.9999802,30,1,1,1
30/1/2026,B26001556,JLS,Yuyun,SADA01,QGAND02,"Gandasil B 24 X 500 gr",24,Pack,BN4529,1/12/2028,1007999.9999919,30,1,1,1
30/1/2026,B26001557,JLS,Yuyun,ANGG01,QMANO01,"Manohara 20 X 1 kg*",20,Pack,0,1/1/2031,2559999.9999937,30,1,1,1
30/1/2026,B26001557,JLS,Yuyun,ANGG01,QGIBG03,"Gibgro 10 SP 25 X 40 X 1 gr",120,Pack,2601001,1/1/2031,2559999.9999937,30,1,1,1
30/1/2026,B26001557,JLS,Yuyun,ANGG01,QHARA01,"Hara Garuda 20 X 1 kg*",20,Pack,0,1/1/2031,2559999.9999937,30,1,1,1
30/1/2026,B26001557,JLS,Yuyun,ANGG01,QEMAC05,"Emacel 30 EC 40 X 250 ml*",20,Btl,5052095,1/6/2028,2559999.9999937,30,1,1,1
30/1/2026,B26001558,JLS,Yuyun,TANI30,QJAGU72,"Jagung Bisi 321 20 X 1 kg (+Kaos)",100,Pack,251118AF01,5/11/2026,15900000,30,1,1,1
30/1/2026,B26001558,JLS,Yuyun,TANI30,QJAGU70,"Jagung P27 Gajah 20 X 1 kg",100,Pack,154DKMACIBEJ015,8/5/2026,15900000,30,1,1,1
30/1/2026,B26001559,"OL Shop",Sheila,FATI01,QSMK36,"Smk. Non Biji Barcelona 5 X 15 X 20 gr",30,Pack,912300,14/8/2026,6000000,0,1,1,1
30/1/2026,B26001560,BWI-2,Faris,EKAJ01,QALAT16,"Alat Service YT 5L / 7L",50,Pcs,0,1/1/1000,425000.00001712,30,1,1,1
30/1/2026,B26001561,BWI-2,Faris,DWIP01,QDURU02,"Durus 70 WG 20 X 100 gr*",20,Pack,ACE2024TMM02P3,1/3/2029,2400000.0000378,60,1,1,1
30/1/2026,B26001562,MLG,Safira,TANI217,QPINA13,"Pinamec 20 EC 20 X 1 ltr (Hitam)*",20,Btl,I260725,1/7/2030,24952000.000021,0,1,1,1
30/1/2026,B26001562,MLG,Safira,TANI217,QLIDI04,"Liding 240 EC (Piktogram Biru) 64 X 90 ml*",256,Btl,25RFS4088,1/8/2030,24952000.000021,0,1,1,1
30/1/2026,B26001562,MLG,Safira,TANI217,QLIDI03,"Liding 240 EC (Piktogram Biru) 48 X 200 ml*",240,Btl,25RFS3384,1/7/2030,24952000.000021,0,1,1,1
30/1/2026,B26001563,JWS,Faris,BIMO02,QJAGU87,"Jagung NK 212 BTGT 20 X 1 kg",100,Pack,20902956,5/10/2026,10500000,0,1,1,1
30/1/2026,B26001564,JWS,Faris,BIMO02,QJAGU72,"Jagung Bisi 321 20 X 1 kg (+Kaos)",60,Pack,251118AF01,5/11/2026,14690000,30,1,1,1
30/1/2026,B26001564,JWS,Faris,BIMO02,QJAGU84,"Jagung DK 95R 20 X 1 kg",100,Pack,5CFD01F056,24/9/2026,14690000,30,1,1,1
