tgl_inputer,kd_faktur,kd_customer,kd_barang,qty,satuan,no_lot,tgl_exp,upload_sts,data_sts,barang_sts,create_at
6/3/2025,B25002945,AGRO07,QJAGU63,100,Pack,MLK1B7004,22/8/2025,1,1,1,"2025-03-06 09:17:00"
6/3/2025,B25002946,MAHU01,QTOPS09,600,Pack,1032021621,1/10/2027,1,1,1,"2025-03-06 09:17:00"
6/3/2025,B25002947,MUBA01,QPAKE02,5,Btl,239CQ09008,1/7/2025,1,1,1,"2025-03-06 09:17:00"
6/3/2025,B25002947,MUBA01,QPAKE01,2,Btl,241CQ02010,1/12/2025,1,1,1,"2025-03-06 09:17:00"
6/3/2025,B25002947,MUBA01,QPAKE01,3,Btl,249DQ11006,1/9/2026,1,1,1,"2025-03-06 09:17:00"
6/3/2025,B25002947,MUBA01,QCOPC06,20,Pack,F1825B2001,1/2/2027,1,1,1,"2025-03-06 09:17:00"
6/3/2025,B25002947,MUBA01,QPREV04,5,Btl,PI42003058,1/8/2027,1,1,1,"2025-03-06 09:17:00"
6/3/2025,B25002947,MUBA01,QQIUM08,100,Btl,20241212,1/12/2029,1,1,1,"2025-03-06 09:17:00"
6/3/2025,B25002948,ALAM01,QSCOR02,2000,Btl,JAK4B07016,1/2/2026,1,1,1,"2025-03-06 09:17:00"
6/3/2025,B25002948,ALAM01,QREGE09,480,Btl,248Q12601,1/11/2026,1,1,1,"2025-03-06 09:17:00"
6/3/2025,B25002948,ALAM01,QREGE03,1600,Btl,2470Q11603,1/11/2026,1,1,1,"2025-03-06 09:17:00"
6/3/2025,B25002948,ALAM01,QREGE02,480,Btl,2471Q11603,1/11/2026,1,1,1,"2025-03-06 09:17:00"
6/3/2025,B25002949,FAJA24,QMKP01,40,Pack,0,1/2/2028,1,1,1,"2025-03-06 09:17:00"
6/3/2025,B25002950,BIMA04,QEM-401,30,Btl,110225,1/2/2027,1,1,1,"2025-03-06 09:17:00"
6/3/2025,B25002951,SRIS01,QMANZ01,100,Pack,2JU5M2W0108,1/2/2027,1,1,1,"2025-03-06 09:17:00"
6/3/2025,B25002952,MITR43,QMETA04,60,Btl,24121203,1/11/2029,1,1,1,"2025-03-06 09:17:00"
6/3/2025,B25002953,EKAJ01,QSAPR01,48,Zak,0,1/10/2027,1,1,1,"2025-03-06 09:17:00"
6/3/2025,B25002954,SUMB96,QNPK119,10,Zak,0,1/10/2026,1,1,1,"2025-03-06 09:17:00"
6/3/2025,B25002955,MEGA09,QPASS02,40,Gal,"PSX 2204195025",1/4/2027,1,1,1,"2025-03-06 09:17:00"
6/3/2025,B25002956,EKOT01,QKNO301,15,Pack,0,1/12/2027,1,1,1,"2025-03-06 09:17:00"
6/3/2025,B25002956,EKOT01,QGAND04,24,Pack,BN4419,1/12/2027,1,1,1,"2025-03-06 09:17:00"
6/3/2025,B25002956,EKOT01,QKNO303,15,Pack,0,1/1/2028,1,1,1,"2025-03-06 09:17:00"
6/3/2025,B25002956,EKOT01,QGAND02,24,Pack,BN0514,1/1/2028,1,1,1,"2025-03-06 09:17:00"
6/3/2025,B25002957,KHAR03,QKRES01,250,Pack,50220012,1/2/2030,1,1,1,"2025-03-06 09:17:00"
6/3/2025,B25002958,TANI269,QKARI01,20,Pack,28193301,1/10/2027,1,1,1,"2025-03-06 09:17:00"
6/3/2025,B25002958,TANI269,QGLUF03,20,Btl,222020002,1/11/2028,1,1,1,"2025-03-06 09:17:00"
6/3/2025,B25002958,TANI269,QPOIN01,100,Btl,125065,1/2/2030,1,1,1,"2025-03-06 09:17:00"
6/3/2025,B25002958,TANI269,QBENA01,25,Kg,0,1/1/1000,1,1,1,"2025-03-06 09:17:00"
6/3/2025,C25000177,NNNA02,QROUN04,1,Btl,502009,1/2/2030,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003639,IKLA01,QQIUM03,200,Btl,20240507,1/5/2029,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003639,IKLA01,QQIUM07,250,Btl,20240507,1/7/2029,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003640,SINA18,QMULS84,20,Roll,0,1/1/1000,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003641,TANI230,QTERO13,100,Pack,424994,1/7/2026,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003642,FARM03,QJAGU72,40,Pack,250220BF01,10/2/2026,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003643,FARM03,QANDR01,4,Btl,3031,1/5/2026,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003644,WESJ01,QJAGU72,20,Pack,250220BF01,10/2/2026,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003645,BINA02,QGOAL03,2500,Btl,4.13E+11,1/7/2029,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003646,MUJU01,QMANZ01,20,Pack,2JU5M2W0108,1/2/2027,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003647,AGRO13,QCORI01,40,Btl,23093101,1/11/2028,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003647,AGRO13,QPERO01,60,Pack,223096101,1/12/2028,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003648,PRIM03,QAMIS03,100,Btl,JAK4DS1076,1/4/2027,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003648,PRIM03,QSAMI02,50,Btl,I1224J1101,1/9/2029,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003648,PRIM03,QSAMI02,100,Btl,I1224L0901,1/12/2029,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003649,TANI88,QQIUM08,100,Btl,20241212,1/12/2029,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003650,SUMB96,QJAGU29,60,Pack,20215814,14/1/2026,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003651,SUMB96,QNPKC13,10,Zak,0,1/2/2028,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003652,HIMA01,QBAME04,100,Btl,13193201,1/10/2026,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003652,HIMA01,QBAME01,200,Btl,15113401,1/2/2028,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003653,SETI01,QJAGU47,100,Pack,250221AF01,21/11/2025,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003654,KHAR01,CKRES01,100,Pack,50106003,1/1/2030,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003654,KHAR01,CTOPJ01,1000,Btl,50214008,1/2/2030,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003654,KHAR01,CBABL03,2000,Btl,50218106,1/2/2030,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003655,TANI172,QJAGU94,20,Pack,20169798,8/1/2026,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003655,TANI172,QJAGU29,20,Pack,20215814,14/1/2026,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003655,TANI172,QJAGU87,20,Pack,20187126,26/1/2026,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003656,TANI172,QJAGU25,20,Pack,612.264,1/10/2025,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003656,TANI172,QJAGU95,20,Pack,3290HBS235,1/11/2025,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003656,TANI172,QJAGU92,20,Pack,3544HBS18,21/11/2025,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003657,DUTA03,QORON01,20,Btl,JAK4B26SA2,1/2/2029,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003658,PEMU01,QAGUS02,200,Btl,ADV273E055,1/10/2027,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003659,SUMB23,QQIUM07,50,Btl,20240507,1/7/2029,1,1,1,"2025-03-06 09:17:00"
6/3/2025,D25003660,SEDU03,QASLI02,5,Pack,ADV260820,1/8/2025,1,1,1,"2025-03-06 09:17:00"
