tgl_inputer,kd_faktur,kd_rute,kd_customer,kd_barang,qty,satuan,no_lot,tgl_exp,upload_sts,data_sts,barang_sts,create_at
27/5/2025,A25000778,SBY,SITI39,QDEKT02,2,Btl,BN2447,1/7/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,A25000779,SBY,ADIT16,QKING03,1,Btl,24112506,1/10/2029,1,1,1,"2025-05-27 12:00:06"
27/5/2025,A25000780,SBY,YAYA04,QROZA02,2,Btl,ROZA001,1/8/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,A25000781,MLG,MBRE01,QCAST01,1,Pack,220328,1/7/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,A25000782,PROB,AYUF01,QPETR01,1,Btl,48111617,1/11/2029,1,1,1,"2025-05-27 12:00:06"
27/5/2025,A25000783,MLG,BAYU11,QBION02,1,Btl,41203999,1/12/2029,1,1,1,"2025-05-27 12:00:06"
27/5/2025,A25000784,SBY,JUMR01,QPETR01,1,Btl,48111617,1/11/2029,1,1,1,"2025-05-27 12:00:06"
27/5/2025,A25000785,KD-2,YOAN01,QAMEG01,1,Btl,240903001000,1/9/2029,1,1,1,"2025-05-27 12:00:06"
27/5/2025,A25000786,SBY,NURQ01,QROZA02,1,Btl,ROZA001,1/8/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006245,JLS,BINA11,QLIDI03,48,Btl,24RFS3922,1/12/2026,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006247,JLS,WIRA02,QREGE03,80,Btl,2570Q01603,1/1/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006247,JLS,WIRA02,QREGE09,24,Btl,2589Q01603,1/1/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006247,JLS,WIRA02,QSELT02,24,Btl,S24082102,1/5/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006247,JLS,WIRA02,QSELT01,20,Btl,S25031901,1/10/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006248,SBY,FARM02,QANET08,5,Btl,36183101,1/9/2025,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006248,SBY,FARM02,QDEKT02,2,Btl,BN2447,1/7/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006248,SBY,FARM02,QANET07,10,Btl,19183302,1/9/2027,1,1,1,"2025-05-27 12:00:06"
27/5/2025,B25006248,SBY,FARM02,QVIAR02,2,Pack,30313019,1/3/2028,1,1,1,"2025-05-27 12:00:06"
