tgl_inputer,kd_faktur,kd_rute,kd_customer,kd_barang,nama_barang,qty,satuan,no_lot,tgl_exp,nominal_p,jtempo,upload_sts,data_sts,barang_sts,create_at
11/6/2025,A25000927,KD-1,NURU21,QCOYO02,"Coyote 400/40 SE 20 X 500 ml",2,Btl,7AUYSMS4410,1/12/2026,359999.99997568,0,1,1,1,"2025-08-11 14:29:27"
11/6/2025,A25000928,BWI-1,ISTI05,QPROF02,"Profuron 600 EC 40 X 250 ml*",1,Btl,24031912,1/2/2029,114975.00001892,0,1,1,1,"2025-08-11 14:29:27"
11/6/2025,A25000929,SBY,ANWA04,QFONI01,"Fonium 200 SL 20 X 1 ltr",1,Btl,223300003,1/4/2029,75599.999991892,0,1,1,1,"2025-08-11 14:29:27"
11/6/2025,A25000930,KD-1,KARD02,QGLUF03,"Glufa 200 SL 20 X 1 ltr",1,Btl,0222020017,1/4/2029,83699.999994595,0,1,1,1,"2025-08-11 14:29:27"
11/6/2025,A25000931,MD-2,PURW14,QLOGA01,"Logamate 440 EC 50 x 100 ml*",1,Btl,24112604,1/10/2029,17549.999989189,0,1,1,1,"2025-08-11 14:29:27"
11/6/2025,A25000932,SBY,AMIN07,QWEND02,"Wendry 75 WP 100 X 100 gr (M2U)",1,Pack,38183202,1/3/2027,27449.99997027,0,1,1,1,"2025-08-11 14:29:27"
11/6/2025,A25000933,"SBY
SBY",NIAS01,QCOYO02,"Coyote 400/40 SE 20 X 500 ml",1,Btl,7AUYSMS4410,1/12/2026,289350.00002432,0,1,1,1,"2025-08-11 14:29:27"
11/6/2025,A25000933,"SBY
SBY",NIAS01,QKING03,"Kingdom 550 SC 20 X 1 ltr*",1,Btl,24112506,1/10/2029,289350.00002432,0,1,1,1,"2025-08-11 14:29:27"
12/6/2025,A25000934,SBY,FADI06,QOPLO01,"Oplosan 550/60 EC 50 X 80 ml",2,Btl,20153301,1/6/2027,49500.000005405,0,1,1,1,"2025-08-11 14:29:27"
12/6/2025,A25000935,SBY,FADI06,QOPLO01,"Oplosan 550/60 EC 50 X 80 ml",1,Btl,20153301,1/6/2027,24750.000002703,0,1,1,1,"2025-08-11 14:29:27"
12/6/2025,A25000936,SBY,HERM10,QKING03,"Kingdom 550 SC 20 X 1 ltr*",1,Btl,24112506,1/10/2029,109349.99998649,0,1,1,1,"2025-08-11 14:29:27"
12/6/2025,A25000937,MLG,SUMA12,QAKRO01,"Akrostar 40 WP 60 X 40 gr*",2,Pack,11213101PI,1/12/2027,85049.999978378,0,1,1,1,"2025-08-11 14:29:27"
12/6/2025,A25000938,SBY,AFGA01,QGOLD09,"GG Bunga 50 X 100 ml*",1,Btl,23113401,1/2/2028,103499.99995676,0,1,1,1,"2025-08-11 14:29:27"
12/6/2025,A25000939,JLS,UMIS02,QPARA02,"Paratop 276 SL 20 X 1 ltr",1,Btl,123100048,1/12/2027,72000.000035135,0,1,1,1,"2025-08-11 14:29:27"
12/6/2025,A25000940,MD-2,SURY29,QASLI01,"Aslinya 75 WP 20 X 20 X 25 gr",5,Pack,ADV1701210P3GP,1/1/2026,85499.999972973,0,1,1,1,"2025-08-11 14:29:27"
13/6/2025,A25000941,KD-2,JONO01,QPETR01,"Petrogenol 800 L 20 X 20 X 5 ml",5,Btl,48111617,1/11/2029,23249.999954054,0,1,1,1,"2025-08-11 14:29:27"
13/6/2025,A25000942,SBY,ZANA02,QAMIR01,"Amira 10 X 500 ml*",1,Btl,ADV2490100225ST,1/2/2028,226574.99997838,0,1,1,1,"2025-08-11 14:29:27"
13/6/2025,A25000942,SBY,ZANA02,QAPLU01,"A-PlusCal 20 X 250 gr*",1,Pack,ADV2400240125ST,1/1/2030,226574.99997838,0,1,1,1,"2025-08-11 14:29:27"
13/6/2025,A25000943,KD-2,NIKI02,QCOYO02,"Coyote 400/40 SE 20 X 500 ml",1,Btl,7AUYSMS4410,1/12/2026,230804.99996757,0,1,1,1,"2025-08-11 14:29:27"
13/6/2025,A25000943,KD-2,NIKI02,QKARI03,"Karissnail 6 PL 50 X 200 gr (M2U)*",1,Pack,16123401,1/3/2028,230804.99996757,0,1,1,1,"2025-08-11 14:29:27"
13/6/2025,A25000943,KD-2,NIKI02,QKALI05,"Kaliandra 482 EC 50 X 80 ml (AGM)*",1,Btl,20483U0050,1/5/2030,230804.99996757,0,1,1,1,"2025-08-11 14:29:27"
13/6/2025,A25000944,MD-1,HARI23,QFUTA03,"Futay-1 30 X 500 ml*",1,Btl,22213307,1/1/2028,185849.99996757,0,1,1,1,"2025-08-11 14:29:27"
14/6/2025,A25000945,MD-2,RYAN02,QANET08,"Aneto 50 EC 50 X 250 ml + Neptune 8 gr (M2U)*",1,Btl,36183101,1/9/2025,83250,0,1,1,1,"2025-08-11 14:29:27"
14/6/2025,A25000946,SBY,SAMS13,QGLOV01,"Glove 240 EC 50 X 100 ml*",5,Btl,2409001,1/9/2029,185250.00000811,0,1,1,1,"2025-08-11 14:29:27"
14/6/2025,A25000947,PROB,WIKI02,QCEBA01,"Ceba 125 EC 50 X 100 ml*",1,Btl,46022411,1/2/2027,138525.0000027,0,1,1,1,"2025-08-11 14:29:27"
14/6/2025,A25000947,PROB,WIKI02,QCONF02,"Confidor 200 SL 100 X 60 ml",1,Btl,PI42002983,1/4/2028,138525.0000027,0,1,1,1,"2025-08-11 14:29:27"
14/6/2025,A25000947,PROB,WIKI02,QPETR01,"Petrogenol 800 L 20 X 20 X 5 ml",3,Btl,48111617,1/11/2029,138525.0000027,0,1,1,1,"2025-08-11 14:29:27"
14/6/2025,A25000948,SBY,NAHY01,QKING03,"Kingdom 550 SC 20 X 1 ltr*",1,Btl,24112506,1/10/2029,109349.99998649,0,1,1,1,"2025-08-11 14:29:27"
14/6/2025,A25000949,SBY,MUHR01,QASTA02,"Astana 85 WP 50 X 100 gr*",5,Pack,35022401,1/1/2030,313750.00004234,0,1,1,1,"2025-08-11 14:29:27"
14/6/2025,A25000950,SBY,HASN03,QOPLO02,"Oplosan 550/60 EC 40 X 200 ml",2,Btl,16143301,1/5/2027,97650.000027027,0,1,1,1,"2025-08-11 14:29:27"
14/6/2025,A25000951,SBY,HASN03,QOPLO02,"Oplosan 550/60 EC 40 X 200 ml",2,Btl,16143301,1/5/2027,97650.000027027,0,1,1,1,"2025-08-11 14:29:27"
