category,direction,object_type,table,name,local_bram_definition,yoga_definition,if_local_bram_is_source,if_yoga_is_source,note
table_missing,local_only,table,tb_lpb_price_adjustment,tb_lpb_price_adjustment,CREATE TABLE exists,,ADD TABLE to Yoga,DROP TABLE from Local,"Ada di local_bram, tidak ada di Yoga"
table_missing,local_only,table,tb_lpb_price_adjustment_detail,tb_lpb_price_adjustment_detail,CREATE TABLE exists,,ADD TABLE to Yoga,DROP TABLE from Local,"Ada di local_bram, tidak ada di Yoga"
table_missing,local_only,table,tb_retur_pembelian,tb_retur_pembelian,CREATE TABLE exists,,ADD TABLE to Yoga,DROP TABLE from Local,"Ada di local_bram, tidak ada di Yoga"
table_missing,local_only,table,tb_retur_pembelian_detail,tb_retur_pembelian_detail,CREATE TABLE exists,,ADD TABLE to Yoga,DROP TABLE from Local,"Ada di local_bram, tidak ada di Yoga"
table_missing,local_only,table,tb_retur_pembelian_log,tb_retur_pembelian_log,CREATE TABLE exists,,ADD TABLE to Yoga,DROP TABLE from Local,"Ada di local_bram, tidak ada di Yoga"
table_missing,local_only,table,tb_spr_detail,tb_spr_detail,CREATE TABLE exists,,ADD TABLE to Yoga,DROP TABLE from Local,"Ada di local_bram, tidak ada di Yoga"
table_missing,local_only,table,tb_spr_header,tb_spr_header,CREATE TABLE exists,,ADD TABLE to Yoga,DROP TABLE from Local,"Ada di local_bram, tidak ada di Yoga"
table_missing,local_only,table,tbso_so_approval,tbso_so_approval,CREATE TABLE exists,,ADD TABLE to Yoga,DROP TABLE from Local,"Ada di local_bram, tidak ada di Yoga"
table_missing,local_only,table,tbso_stock_reservation,tbso_stock_reservation,CREATE TABLE exists,,ADD TABLE to Yoga,DROP TABLE from Local,"Ada di local_bram, tidak ada di Yoga"
table_missing,yoga_only,table,tbpo_barang_akun,tbpo_barang_akun,,CREATE TABLE exists,DROP TABLE from Yoga,ADD TABLE to Local,"Ada di Yoga, tidak ada di local_bram"
table_missing,yoga_only,table,tbpo_barang_bck,tbpo_barang_bck,,CREATE TABLE exists,DROP TABLE from Yoga,ADD TABLE to Local,"Ada di Yoga, tidak ada di local_bram"
table_missing,yoga_only,table,tbso_faktur_jurnal,tbso_faktur_jurnal,,CREATE TABLE exists,DROP TABLE from Yoga,ADD TABLE to Local,"Ada di Yoga, tidak ada di local_bram"
view_missing,yoga_only,view,v_available_stock,v_available_stock,,CREATE VIEW exists,DROP VIEW from Yoga,ADD VIEW to Local,Yoga memiliki view real; local_bram tidak punya CREATE VIEW
view_missing,yoga_only,view,v_show_diff_ics,v_show_diff_ics,,CREATE VIEW exists,DROP VIEW from Yoga,ADD VIEW to Local,Yoga memiliki view real; local_bram tidak punya CREATE VIEW
view_missing,yoga_only,view,v_stock_in,v_stock_in,,CREATE VIEW exists,DROP VIEW from Yoga,ADD VIEW to Local,Yoga memiliki view real; local_bram tidak punya CREATE VIEW
view_missing,yoga_only,view,v_stock_mutasi_in,v_stock_mutasi_in,,CREATE VIEW exists,DROP VIEW from Yoga,ADD VIEW to Local,Yoga memiliki view real; local_bram tidak punya CREATE VIEW
view_missing,yoga_only,view,v_stock_mutasi_out,v_stock_mutasi_out,,CREATE VIEW exists,DROP VIEW from Yoga,ADD VIEW to Local,Yoga memiliki view real; local_bram tidak punya CREATE VIEW
view_missing,yoga_only,view,v_stock_out,v_stock_out,,CREATE VIEW exists,DROP VIEW from Yoga,ADD VIEW to Local,Yoga memiliki view real; local_bram tidak punya CREATE VIEW
view_missing,yoga_only,view,v_stock_per_gudang,v_stock_per_gudang,,CREATE VIEW exists,DROP VIEW from Yoga,ADD VIEW to Local,Yoga memiliki view real; local_bram tidak punya CREATE VIEW
view_missing,yoga_only,view,v_stock_saldo_awal,v_stock_saldo_awal,,CREATE VIEW exists,DROP VIEW from Yoga,ADD VIEW to Local,Yoga memiliki view real; local_bram tidak punya CREATE VIEW
column_collation_only,different,column,cctv_tracking,ip_kamera,varchar(45) NOT NULL,varchar(45) COLLATE utf8mb4_unicode_ci NOT NULL,MODIFY COLUMN in Yoga to local_bram definition,MODIFY COLUMN in Local to Yoga definition,Perbedaan hanya COLLATE eksplisit pada kolom
column_collation_only,different,column,cctv_tracking,keterangan,text DEFAULT NULL,text COLLATE utf8mb4_unicode_ci DEFAULT NULL,MODIFY COLUMN in Yoga to local_bram definition,MODIFY COLUMN in Local to Yoga definition,Perbedaan hanya COLLATE eksplisit pada kolom
column_collation_only,different,column,cctv_tracking,lokasi,varchar(100) NOT NULL,varchar(100) COLLATE utf8mb4_unicode_ci NOT NULL,MODIFY COLUMN in Yoga to local_bram definition,MODIFY COLUMN in Local to Yoga definition,Perbedaan hanya COLLATE eksplisit pada kolom
column_collation_only,different,column,cctv_tracking,nama_kamera,varchar(100) NOT NULL,varchar(100) COLLATE utf8mb4_unicode_ci NOT NULL,MODIFY COLUMN in Yoga to local_bram definition,MODIFY COLUMN in Local to Yoga definition,Perbedaan hanya COLLATE eksplisit pada kolom
column_collation_only,different,column,cctv_tracking,status,"enum('Online','Offline') NOT NULL DEFAULT 'Offline'","enum('Online','Offline') COLLATE utf8mb4_unicode_ci NOT NULL DEFAULT 'Offline'",MODIFY COLUMN in Yoga to local_bram definition,MODIFY COLUMN in Local to Yoga definition,Perbedaan hanya COLLATE eksplisit pada kolom
column_collation_only,different,column,cctv_tracking,status_rekaman,"enum('Terekam','Tidak') NOT NULL DEFAULT 'Tidak'","enum('Terekam','Tidak') COLLATE utf8mb4_unicode_ci NOT NULL DEFAULT 'Tidak'",MODIFY COLUMN in Yoga to local_bram definition,MODIFY COLUMN in Local to Yoga definition,Perbedaan hanya COLLATE eksplisit pada kolom
