tgl_inputer,kd_faktur,kd_rute,kd_customer,kd_barang,qty,satuan,no_lot,tgl_exp,upload_sts,data_sts,barang_sts,create_at
25/3/2025,A25000428,P-1,DINA07,QCALC02,1,Pack,0,1/3/2029,1,1,1,"2025-03-25 19:57:48"
25/3/2025,A25000429,SBY,ZAIN15,QGOLD09,1,Btl,28102802,1/1/2027,1,1,1,"2025-03-25 19:57:48"
25/3/2025,A25000430,SBY,RUSD06,QPAKE08,6,Btl,2109001,1/9/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,A25000431,SBY,REDY01,QKING03,1,Btl,24112506,1/10/2029,1,1,1,"2025-03-25 19:57:48"
25/3/2025,A25000432,SBY,PUKP01,QPETR01,20,Btl,48111617,1/11/2029,1,1,1,"2025-03-25 19:57:48"
25/3/2025,A25000433,PROB,ZAIN16,QBION03,1,Btl,41007999,1/10/2029,1,1,1,"2025-03-25 19:57:48"
25/3/2025,A25000434,SBY,RENG03,QKING03,3,Btl,24112506,1/10/2029,1,1,1,"2025-03-25 19:57:48"
25/3/2025,A25000435,SBY,KUSN02,QMEXD07,3,Btl,20240301,1/6/2027,1,1,1,"2025-03-25 19:57:48"
25/3/2025,A25000436,SBY,ASRU01,QMEXD05,1,Btl,210917,1/8/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,A25000437,SBY,ASWA03,QKAOS16,25,Pcs,0,1/1/1000,1,1,1,"2025-03-25 19:57:48"
25/3/2025,A25000438,SBY,FADL02,QKAOS16,15,Pcs,0,1/1/1000,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003861,JLS,BARO60,QJAGU81,80,Pack,3242000,1/8/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003862,JLS,PODO01,QPUPU16,10,Zak,122024,1/12/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003863,JUBS,FAJA04,QBION01,500,Pack,CBT3JWP086,1/10/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003864,JUBS,KHAR03,QCHAM02,4,Pack,2502003,1/2/2030,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003864,JUBS,KHAR03,QCHAM02,24,Pack,2502003,1/2/2030,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003865,SBY,FARM02,QBAST03,12,Btl,25RFS0632,1/2/2030,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003866,BWI-2,UTAM01,QJAGU55,40,Pack,250224AF01,24/11/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003867,BWI-2,DARA01,QABAC03,20,Btl,20092024,1/9/2027,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003867,BWI-2,DARA01,QABAC04,40,Btl,15122024,1/12/2027,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003867,BWI-2,DARA01,QMACE01,4,Pack,124RFA3823,1/7/2029,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003867,BWI-2,DARA01,QMACE01,7,Pack,124RFA4174,1/7/2029,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003868,KD-1,LIST01,QSPRA15,1,Pcs,0,1/1/1000,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003869,KD-1,ALFA04,QJAGU81,40,Pack,3242000,1/8/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003869,KD-1,ALFA04,QJAGU64,120,Pack,1240622,1/12/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003870,BWI-3,MUNA01,QJAGU04,100,Pack,3571HBS2,7/11/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003871,MLG,TANI146,QSPRA15,2,Pcs,0,1/1/1000,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003872,SBY,SUMB115,QJAGU87,1500,Pack,20187128,26/1/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003872,SBY,SUMB115,QJAGU29,1500,Pack,20207539,27/1/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003873,JLS,SUBU05,QAGUS01,10,Btl,ADV271E050,1/10/2027,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003873,JLS,SUBU05,QAGUS02,10,Btl,ADV273E055,1/10/2027,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003873,JLS,SUBU05,QLOGA03,20,Btl,24072616,1/6/2029,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003873,JLS,SUBU05,QBION03,50,Btl,41203999,1/12/2029,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003874,JLS,TUNG05,QTIMU04,30,Pack,2292008126,17/7/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003875,JLS,TUNG05,QMETI02,40,Pack,56887,1/11/2029,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003875,JLS,TUNG05,QMETI07,40,Pack,56913,1/1/2030,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003876,JLS,PUTR18,QORCA02,2,Pail,101250135001,1/1/2030,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003877,BWI-2,SUMB61,QNPKS06,8,Pack,0,1/8/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003877,BWI-2,SUMB61,QNPKC13,5,Zak,0,1/2/2028,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003878,BWI-3,MUNA01,QKRES07,40,Btl,50115007,1/1/2030,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003879,BWI-2,YAHY01,QMUL106,1,Roll,0,1/1/1000,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003880,KD-1,MULU01,QAGUS01,100,Btl,ADV271E050,1/10/2027,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003881,KD-1,MAJU07,QJAGU63,500,Pack,MLK1B4006,21/12/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003882,BWI-1,ARUM01,QJAGU70,20,Pack,186DKMAFDGEC031,13/11/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003883,SBY,FARM02,QTIMU29,100,Pack,271032519,22/9/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003884,JLS,INDR01,QTIMU29,60,Pack,271032518,22/9/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003884,JLS,INDR01,QTIMU29,20,Pack,271032519,22/9/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003885,MLG,TANI146,QPUPU11,1,Zak,1240930,1/9/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003885,MLG,TANI146,QEMAP03,20,Btl,20220319,1/1/2027,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003885,MLG,TANI146,QEMAP08,15,Btl,20240302,1/11/2027,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003886,BWI-2,CAHA01,QJAGU70,60,Pack,186DKMAFDGEC031,13/11/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003887,MD-1,BERK56,QJAGU13,6000,Pack,20311699,4/2/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003888,JLS,TANI03,QTIMU29,120,Pack,271032518,22/9/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003889,JBR-1,BIMA04,QDURU02,20,Pack,20230102,1/1/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003890,JUBS,MAHK01,QTIMU29,50,Pack,271032518,22/9/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003891,JUBS,VARI02,QTIMU29,50,Pack,271032518,22/9/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003892,KD-1,SUMB59,QTIMU29,120,Pack,271032518,22/9/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003893,BWI-2,EKAJ01,QTIMU29,35,Pack,271032518,22/9/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003894,BWI-2,EKAJ01,QTIMU29,35,Pack,271032518,22/9/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003895,BWI-2,MITR09,QTIMU29,30,Pack,271032518,22/9/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003896,JUBS,SETI01,QTIMU29,40,Pack,271032518,22/9/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003897,BWI-2,UTAM01,QTIMU29,50,Pack,271032518,22/9/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003898,BWI-2,DINO01,QTIMU29,30,Pack,271032518,22/9/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003899,KD-1,PUSA08,QMOSP02,20,Btl,4221DD4331,1/10/2028,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003899,KD-1,PUSA08,QTALI03,2,Zak,0,1/1/1000,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003900,JLS,GHAN01,QSTAR01,11,Gal,102090522,1/5/2027,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003900,JLS,GHAN01,QSTAR02,220,Btl,102090511,1/12/2028,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003901,JBR-1,BIMA04,QCAUL06,3,Pack,782408,1/8/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003902,BWI-1,LAYA02,QABAC04,40,Btl,15122024,1/12/2027,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003902,BWI-1,LAYA02,QBAME04,50,Btl,26113401,1/2/2028,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003902,BWI-1,LAYA02,QBONG02,40,Btl,240919,1/9/2028,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003903,"B Agronomis",ARIF09,QINTE02,109,Btl,22040900500,1/4/2027,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003904,BWI-1,MUJA01,QJAGU78,60,Pack,9CFB013309,1/8/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003905,JBR-1,BIMA04,QGIBG03,80,Pack,2501001,1/1/2030,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003906,JUBS,TANI235,QSAGR03,20,Btl,231023,1/10/2027,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003907,BWI-1,LANG01,QTUNT03,80,Btl,50306033,1/3/2030,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003908,BWI-2,SARA01,QKANG07,20,Pack,9243,1/3/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003909,KD-1,SUMB189,QROTR01,20,Btl,81083,1/6/2026,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003910,MLG,NAYU01,QEMAC04,10,Btl,15122024,1/12/2027,1,1,1,"2025-03-25 19:57:48"
25/3/2025,B25003910,MLG,NAYU01,QAGRO02,450,Btl,25GAT0211,1/2/2030,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003911,MLG,JOKO12,QFUTA22,50,Btl,22213313,1/2/2028,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003911,MLG,JOKO12,QGRAN04,40,Pack,0,1/1/1000,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003912,PROB,RUDI02,QGAME01,300,Btl,2021SM1018,1/10/2026,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003913,KD-2,INTI02,QAGUS02,400,Btl,ADV273E055,1/10/2027,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003914,BWI-1,BERK08,QSTAR05,44,Btl,102090505,1/8/2028,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003915,MLG,SUMB183,QPAPA01,100,Btl,2403181006,1/3/2029,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003916,MLG,SUMB183,QTIMU29,120,Pack,271032518,22/9/2026,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003917,JUBS,RISK02,QKRES01,250,Pack,50214008,1/2/2030,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003918,JUBS,SUMB96,QMETS01,200,Pack,060192,1/8/2026,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003919,PROB,SUMB23,QBAME04,50,Btl,26113401,1/2/2028,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003919,PROB,SUMB23,QBAME03,40,Btl,23123401,1/3/2028,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003919,PROB,SUMB23,QSARU02,13,Pcs,0,1/1/1000,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003920,JLS,WUKI01,QPLEN02,20,Pack,SRG4FW1103,1/6/2026,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003920,JLS,WUKI01,QMETS01,200,Pack,060192,1/8/2026,1,1,1,"2025-03-25 19:57:48"
26/3/2025,B25003921,JLS,WUKI01,QJAGU64,40,Pack,1240622,1/12/2025,1,1,1,"2025-03-25 19:57:48"
25/3/2025,C25000239,SBY,FARM02,QMUTU02,1,Pack,2023ES1202,1/4/2028,1,1,1,"2025-03-25 19:57:48"
