tgl_transaksi,kd_faktur_lpb,nama_barang,exp_date,qty,lpb_note,input_at,lpb_status
16/9/2025,25000572B,"Jagung NK 212 20 X 1 kg",7/9/2026,16000,850669729,16/09/2025,1
16/9/2025,25001788,"Abacel 18 EC 40 X 250 ml",1/4/2028,360,8924551207,16/09/2025,1
16/9/2025,25001789,"Score 250 EC 50 X 80 ml",1/8/2027,5600,1810597372,16/09/2025,1
16/9/2025,25001790,"Alika 247 ZC 40 X 250 ml",1/4/2027,3200,1810631652,16/09/2025,1
16/9/2025,25001790,"Alika 247 ZC 40 X 250 ml",1/7/2027,4800,1810631652,16/09/2025,1
16/9/2025,25001791,"Alika 247 ZC 50 X 100 ml",1/7/2027,12500,1810631769,16/09/2025,1
16/9/2025,25001792,"Matador 25 EC 100 X 80 ml",1/8/2027,10000,1810620052,16/09/2025,1
16/9/2025,25001793,"Alika 247 ZC 100 X 50 ml",1/4/2027,5000,1810631652,16/09/2025,1
16/9/2025,25001793,"Alika 247 ZC 50 X 100 ml",1/7/2027,7500,1810631652,16/09/2025,1
16/9/2025,25001793,"Amistartop 325 SC 50 X 100 ml",1/5/2028,15000,1810631652,16/09/2025,1
16/9/2025,25001793,"Amistartop 325 SC 100 X 50 ml",1/6/2028,15300,1810631652,16/09/2025,1
16/9/2025,25001793,"Amistartop 325 SC 100 X 50 ml",1/6/2028,19700,1810631652,16/09/2025,1
16/9/2025,25001795,"Gold Star 250 EC 40 X 250 ml",1/2/2030,4000,25-00023738,16/09/2025,1
16/9/2025,25001796,"Mulsa Karisma 50 cm / 20 kg (Roll)",1/1/1000,100,SJ/25/IX/0070,16/09/2025,1
16/9/2025,25001796,"Mulsa Karisma 60 cm / 20 kg (Roll)",1/1/1000,248,SJ/25/IX/0070,16/09/2025,1
16/9/2025,25001796,"Mulsa Karisma 60 cm / 10 kg (Roll)",1/1/1000,100,SJ/25/IX/0070,16/09/2025,1
16/9/2025,25001797,"Ever Green Asam Amino 20 X 1 ltr*",1/9/2030,1000,154,16/09/2025,1
16/9/2025,25001798,"Efficon 120 SL 48 X 100 ml",1/6/2027,2400,6215411640,16/09/2025,1
16/9/2025,25001799,"Melyra 200/200 SC 24 X 250 ml",1/8/2027,672,6215411644,16/09/2025,1
16/9/2025,25001799,"Melyra 200/200 SC 24 X 250 ml",1/8/2027,528,6215411644,16/09/2025,1
