tgl_transaksi,kd_faktur_lpb,kd_barang,nama_barang,exp_date,qty,lpb_note,input_at,lpb_status
2/2/2026,26000086B,QJAGU37,"Jagung Pertiwi 2 20 X 1 kg",1/1/2027,4,DO-S/2026/01092,14/03/2026,1
2/2/2026,26000086B,QJAGU37,"Jagung Pertiwi 2 20 X 1 kg",1/1/2027,396,DO-S/2026/01092,14/03/2026,1
4/2/2026,26000087B,QJAGU13,"Jagung NK 212 20 X 1 kg",15/1/2027,2720,850932990,14/03/2026,1
4/2/2026,26000087B,QJAGU13,"Jagung NK 212 20 X 1 kg",15/1/2027,13280,850932990,14/03/2026,1
4/2/2026,26000088B,QJAGU29,"Jagung NK 7328 20 X 1 kg",14/1/2027,13380,850932995,14/03/2026,1
4/2/2026,26000088B,QJAGU29,"Jagung NK 7328 20 X 1 kg",25/1/2027,2620,850932995,14/03/2026,1
4/2/2026,26000089B,QJAGU29,"Jagung NK 7328 20 X 1 kg",25/1/2027,16000,850934762,14/03/2026,1
4/2/2026,26000090B,QJAGU94,"Jagung NK 7328 BTGT 20 X 1 kg",14/1/2027,400,850934891,14/03/2026,1
4/2/2026,26000090B,QJAGU94,"Jagung NK 7328 BTGT 20 X 1 kg",15/1/2027,11600,850934891,14/03/2026,1
4/2/2026,26000090B,QJAGU94,"Jagung NK 7328 BTGT 20 X 1 kg",28/12/2026,4000,850934891,14/03/2026,1
4/2/2026,26000091Bk,QKACA21,"Kacang Panjang Balga 20 X 500 gr",1/1/2028,100,SJ,14/03/2026,1
5/2/2026,26000092B,QJAGU94,"Jagung NK 7328 BTGT 20 X 1 kg",20/1/2027,1180,850936770,14/03/2026,1
5/2/2026,26000092B,QJAGU94,"Jagung NK 7328 BTGT 20 X 1 kg",28/1/2027,14820,850936770,14/03/2026,1
5/2/2026,26000093B,QJAGU94,"Jagung NK 7328 BTGT 20 X 1 kg",15/1/2027,6460,850936769,14/03/2026,1
5/2/2026,26000093B,QJAGU94,"Jagung NK 7328 BTGT 20 X 1 kg",20/1/2027,9540,850936769,14/03/2026,1
5/2/2026,26000094B,QJAGU70,"Jagung P27 Gajah 20 X 1 kg",8/5/2026,2000,PS000534,14/03/2026,1
5/2/2026,26000095B,QJAGU112,"Jagung P27 Lumigen 20 X 1 kg",11/6/2026,4000,PS000532,14/03/2026,1
5/2/2026,26000096B,QJAGU112,"Jagung P27 Lumigen 20 X 1 kg",11/6/2026,923,PS000533,14/03/2026,1
6/2/2026,26000097B,QJAGU29,"Jagung NK 7328 20 X 1 kg",25/1/2027,16000,850939574,14/03/2026,1
6/2/2026,26000098B,QJAGU94,"Jagung NK 7328 BTGT 20 X 1 kg",28/1/2027,1560,850939631,14/03/2026,1
6/2/2026,26000098B,QJAGU94,"Jagung NK 7328 BTGT 20 X 1 kg",28/1/2027,14440,850939631,14/03/2026,1
6/2/2026,26000099B,QJAGU87,"Jagung NK 212 BTGT 20 X 1 kg",14/1/2027,1180,850939475,14/03/2026,1
6/2/2026,26000099B,QJAGU87,"Jagung NK 212 BTGT 20 X 1 kg",20/1/2027,14820,850939475,14/03/2026,1
7/2/2026,26000100B,QJAGU13,"Jagung NK 212 20 X 1 kg",15/1/2027,16000,850941220,14/03/2026,1
7/2/2026,26000101B,QJAGU87,"Jagung NK 212 BTGT 20 X 1 kg",20/1/2027,10000,850942718,14/03/2026,1
7/2/2026,26000102B,QJAGU13,"Jagung NK 212 20 X 1 kg",15/1/2027,6000,850941293,14/03/2026,1
7/2/2026,26000103B,QTIMU29,"Timun Semi F1 12 X 10 X 20 gr*",4/8/2027,600,SJP2602-0169,14/03/2026,1
7/2/2026,26000104B,QTIMU29,"Timun Semi F1 12 X 10 X 20 gr*",4/8/2027,360,SJP2602-0189,14/03/2026,1
7/2/2026,26000105B,QTIMU29,"Timun Semi F1 12 X 10 X 20 gr*",3/8/2027,240,SJP2602-0165,14/03/2026,1
7/2/2026,26000106B,QSMK24,"Smk. Madrid F1 12 X 10 X 20 gr*",4/5/2027,840,SJP2602-0219,14/03/2026,1
7/2/2026,26000106B,QSMK24,"Smk. Madrid F1 12 X 10 X 20 gr*",4/5/2027,960,SJP2602-0219,14/03/2026,1
7/2/2026,26000107B,QJAGU29,"Jagung NK 7328 20 X 1 kg",25/1/2027,15160,850941399,14/03/2026,1
7/2/2026,26000107B,QJAGU29,"Jagung NK 7328 20 X 1 kg",25/1/2027,840,850941399,14/03/2026,1
10/2/2026,26000108Bk,QTIMU35,"Timun Saemi F1 12 X 12 X 20 gr",1/1/2028,144,SJ,14/03/2026,1
10/2/2026,26000108Bk,QTIMU35,"Timun Saemi F1 12 X 12 X 20 gr",1/1/2028,432,SJ,14/03/2026,1
